How often patients got better at walking or moving around,How often patients got better at taking their drugs correctly by mouth,How often patients got better at bathing,How often the home health team began their patients care in a timely manner,How often patients breathing improved,How often home health patients had to be admitted to the hospital,How often patients got better at getting in and out of bed,Quality of patient care star rating,Predicted Values
0.82,0.887,0.908,0.4938574938574938,0.966,0.346774193548387,0.954,4.0,3.0
0.508,0.425,0.525,0.8476658476658476,0.336,0.3735840377206601,0.585,0.0,1.0
0.861,0.75,0.828,0.9398034398034396,0.69,0.4704301075268817,0.8640000000000001,2.0,3.0
0.856,0.7909999999999999,0.779,0.9090909090909092,0.81,0.4543010752688171,0.843,2.0,3.0
0.407,0.133,0.312,0.7285012285012284,0.306,0.368279569892473,0.377,1.0,0.0
0.78,0.6559999999999999,0.7390000000000001,0.9213759213759212,0.6940000000000001,0.325268817204301,0.935,3.0,2.0
0.497,0.497,0.5479999999999999,0.8931203931203929,0.505,0.3735840377206601,0.5760000000000001,0.0,1.0
0.747,0.81,0.804,0.9877149877149876,0.6559999999999999,0.3951612903225805,0.8190000000000001,2.0,3.0
0.828,0.841,0.898,0.99017199017199,0.904,0.3172043010752688,0.812,4.0,3.0
0.706,0.7,0.7170000000000001,0.9914004914004912,0.605,0.3655913978494623,0.605,2.0,1.0
0.6779999999999999,0.718,0.769,0.9729729729729728,0.74,0.1559139784946236,0.721,2.0,3.0
0.634,0.703,0.63,1.0,0.7964877532106448,0.5994623655913979,0.722,2.0,1.0
0.847,0.795,0.883,0.99017199017199,0.9,0.3763440860215054,0.914,4.0,3.0
0.1639999999999999,0.251,0.287,1.0,0.757,0.2956989247311827,0.5429999999999999,2.0,1.0
0.863,0.802,0.901,0.9889434889434888,0.928,0.4704301075268817,0.887,4.0,3.0
0.514,0.494,0.395,0.7727272727272727,0.607,0.3735840377206601,0.483,0.0,1.0
0.889,0.7611543818157931,0.921,0.4324324324324323,0.7829999999999999,0.1505376344086021,1.0,4.0,3.0
0.7829999999999999,0.665,0.649,0.7948402948402946,0.659,0.4005376344086021,0.7909999999999999,2.0,1.0
0.905,0.921,0.937,1.0,0.905,0.3548387096774193,0.912,5.0,4.0
0.847,0.7759999999999999,0.8640000000000001,0.9348894348894348,0.835,0.5672043010752688,0.804,2.0,3.0
0.892,0.85,0.888,0.9742014742014744,0.847,0.379032258064516,0.879,3.0,4.0
0.799,0.952,0.953,0.8550368550368549,0.973,0.2849462365591397,0.711,4.0,3.0
0.892,0.476,0.94,0.7874692874692873,0.7759999999999999,0.3010752688172042,0.622,3.0,2.0
0.91,0.8959999999999999,0.911,1.0,0.93,0.3763440860215054,0.948,5.0,4.0
0.872,0.741,0.7979999999999999,0.9656019656019654,0.8320000000000001,0.7043010752688171,0.8220000000000001,3.0,2.0
0.843,0.83,0.877,1.0,0.914,0.5268817204301075,0.934,4.0,3.0
0.903,0.925,0.986,1.0,0.914,0.3306451612903225,0.935,5.0,4.0
0.7879999999999999,0.721,0.7959999999999999,0.7076167076167076,0.855,0.3735840377206601,0.889,3.0,2.0
0.795,0.6629999999999999,0.782,1.0,0.7964877532106448,0.3735840377206601,0.72,3.0,2.0
0.818,0.851,0.8370000000000001,0.8943488943488944,0.8029999999999999,0.5134408602150538,0.7879999999999999,2.0,3.0
1.0,1.0,0.95,0.9754299754299754,0.968,0.4301075268817204,0.969,4.0,5.0
0.7390000000000001,0.6990000000000001,0.759,0.7604422604422604,0.79,0.3763440860215054,0.797,1.0,2.0
0.7709999999999999,0.695,0.6809999999999999,0.8660933660933661,0.753,0.2849462365591397,0.643,2.0,1.0
0.8190000000000001,0.794,0.807,0.92014742014742,0.794,0.3844086021505376,0.826,2.0,3.0
0.524,0.299,0.598,0.6646191646191646,0.502,0.3735840377206601,0.6890000000000001,0.0,1.0
0.7929999999999999,0.524,0.812,1.0,0.764,0.336021505376344,0.675,3.0,2.0
