How often patients got better at walking or moving around,How often patients got better at taking their drugs correctly by mouth,How often patients got better at bathing,How often the home health team began their patients care in a timely manner,How often patients breathing improved,How often home health patients had to be admitted to the hospital,How often patients got better at getting in and out of bed,Quality of patient care star rating,Predicted Values
0.6609999999999999,0.466,0.86,0.955773955773956,0.691,0.3521505376344085,0.557,1.0,2.0
0.936,0.933,0.892,0.9926289926289928,0.963,0.3870967741935484,1.0,4.0,5.0
0.815,0.75,0.8140000000000001,0.9324324324324323,0.875,0.1962365591397849,0.755,3.0,2.0
0.81,0.7609999999999999,0.8540000000000001,0.9717444717444716,0.7390000000000001,0.2795698924731182,0.774,3.0,2.0
0.812,0.7090000000000001,0.7879999999999999,0.7199017199017199,0.762,0.2876344086021505,0.954,3.0,2.0
0.797,0.802,0.815,0.9680589680589682,0.855,0.4139784946236559,0.8240000000000001,3.0,2.0
0.826,0.81,0.8490000000000001,0.9975429975429974,0.992,0.3333333333333333,0.843,4.0,3.0
0.78,0.6559999999999999,0.7390000000000001,0.9213759213759212,0.6940000000000001,0.325268817204301,0.935,3.0,2.0
0.497,0.497,0.5479999999999999,0.8931203931203929,0.505,0.3735840377206601,0.5760000000000001,0.0,1.0
0.993,0.995,0.99,0.99017199017199,0.971,0.4731182795698925,0.938,4.0,5.0
0.828,0.841,0.898,0.99017199017199,0.904,0.3172043010752688,0.812,4.0,3.0
0.706,0.7,0.7170000000000001,0.9914004914004912,0.605,0.3655913978494623,0.605,2.0,1.0
0.8390000000000001,0.777,0.889,0.9373464373464374,0.722,0.3172043010752688,0.6809999999999999,3.0,2.0
0.7659999999999999,0.706,0.7909999999999999,0.9115479115479114,0.8959999999999999,0.3198924731182795,0.893,3.0,2.0
0.847,0.795,0.883,0.99017199017199,0.9,0.3763440860215054,0.914,4.0,3.0
0.1639999999999999,0.251,0.287,1.0,0.757,0.2956989247311827,0.5429999999999999,2.0,1.0
0.7120000000000001,0.845,0.743,0.899262899262899,0.6990000000000001,0.086021505376344,0.71,3.0,2.0
0.863,0.802,0.901,0.9889434889434888,0.928,0.4704301075268817,0.887,4.0,3.0
0.755,0.7140000000000001,0.792,1.0,0.688,0.3064516129032258,0.752,3.0,2.0
0.758,0.578,0.758,0.7542997542997543,0.846,0.3735840377206601,0.7290000000000001,1.0,2.0
0.91,0.948,0.983,0.993857493857494,0.926,0.3763440860215054,0.885,4.0,5.0
0.889,0.7611543818157931,0.921,0.4324324324324323,0.7829999999999999,0.1505376344086021,1.0,4.0,3.0
0.94,0.894,0.954,0.9975429975429974,0.934,0.3118279569892472,0.8859999999999999,4.0,5.0
0.758,0.743,0.8079999999999999,0.9828009828009828,0.79,0.3279569892473117,0.8140000000000001,3.0,2.0
0.7829999999999999,0.665,0.649,0.7948402948402946,0.659,0.4005376344086021,0.7909999999999999,2.0,1.0
0.83,0.962,0.8270000000000001,0.9164619164619164,0.972,0.4381720430107527,0.967,4.0,3.0
0.905,0.921,0.937,1.0,0.905,0.3548387096774193,0.912,5.0,4.0
0.904,0.72,0.83,0.8022113022113023,0.769,0.3735840377206601,1.0,3.0,2.0
0.799,0.952,0.953,0.8550368550368549,0.973,0.2849462365591397,0.711,4.0,3.0
0.872,0.741,0.7979999999999999,0.9656019656019654,0.8320000000000001,0.7043010752688171,0.8220000000000001,3.0,2.0
0.825,0.965,0.8370000000000001,1.0,0.895,0.2392473118279569,0.79,4.0,3.0
0.647,0.711,0.754,0.9877149877149876,0.983,0.1989247311827957,0.726,3.0,2.0
0.8640000000000001,0.6559999999999999,0.826,0.78009828009828,0.911,0.4059139784946236,0.867,3.0,2.0
