How often patients got better at walking or moving around,How often patients got better at taking their drugs correctly by mouth,How often patients got better at bathing,How often the home health team began their patients care in a timely manner,How often patients breathing improved,How often home health patients had to be admitted to the hospital,How often patients got better at getting in and out of bed
0.867,0.996,0.946,0.9594594594594592,1.0,0.4059139784946236,0.923
0.594,0.5660000000000001,0.602,0.9004914004914005,0.495,0.2204301075268817,0.638
0.7190000000000001,0.647,0.7140000000000001,0.5196560196560196,0.831,0.2553763440860215,0.753
0.847,0.897,0.872,0.9766584766584766,0.861,0.4059139784946236,0.885
0.74,0.58,0.6679999999999999,0.7579852579852578,0.5589999999999999,0.9489247311827956,0.755
0.723,0.627,0.723,0.957002457002457,0.5539999999999999,0.4516129032258064,0.726
0.863,0.951,0.936,0.7137592137592137,0.857,0.3225806451612903,0.856
0.8909999999999999,0.855,0.995,0.9926289926289928,0.742,0.2607526881720429,0.98
0.8270000000000001,0.8340000000000001,0.821,0.8415233415233415,0.855,0.5403225806451613,0.857
0.81,0.618,0.85,0.6633906633906632,0.59,0.3655913978494623,0.974
0.52,0.5820000000000001,0.626,0.985257985257985,0.583,0.1989247311827957,0.73
0.601,0.628,0.617,0.5749385749385749,0.618,0.2069892473118279,0.701
0.599,0.6779999999999999,0.639,0.9668304668304666,0.8009999999999999,0.2607526881720429,0.728
0.745,0.731,0.7090000000000001,0.9877149877149876,0.585,0.4086021505376344,0.778
0.867,0.823,0.871,0.9262899262899263,0.8240000000000001,0.4193548387096774,0.863
0.877,0.8740000000000001,0.88,0.9717444717444716,0.857,0.4408602150537634,0.8740000000000001
0.8740000000000001,0.821,0.872,0.995085995085995,0.865,0.3655913978494623,0.872
0.8859999999999999,0.857,0.898,0.9975429975429974,0.89,0.3844086021505376,0.903
0.895,0.856,0.889,0.995085995085995,0.9,0.4032258064516129,0.889
0.969,0.96,0.958,0.9987714987714988,0.935,0.3978494623655914,0.942
0.893,0.8690000000000001,0.889,0.9987714987714988,0.956,0.4516129032258064,0.927
0.91,0.852,0.904,0.9926289926289928,0.895,0.4758064516129032,0.924
0.742,0.754,0.7709999999999999,0.8931203931203929,0.7909999999999999,0.4193548387096774,0.73
0.915,0.901,0.924,1.0,0.921,0.4623655913978494,0.894
0.884,0.851,0.921,0.9987714987714988,0.897,0.3870967741935484,0.88
0.856,0.831,0.873,0.993857493857494,0.8420000000000001,0.3602150537634408,0.879
0.872,0.857,0.88,0.995085995085995,0.923,0.2580645161290322,0.892
0.899,0.846,0.918,0.9987714987714988,0.917,0.4758064516129032,0.894
0.898,0.9,0.955,1.0,0.872,0.5053763440860215,0.916
0.8640000000000001,0.868,0.901,1.0,0.836,0.4569892473118279,0.825
0.701,0.623,0.746,0.9668304668304666,0.6679999999999999,0.3735840377206601,0.665
0.916,0.924,0.919,0.9975429975429974,0.912,0.4032258064516129,0.925
0.848,0.7979999999999999,0.862,0.9987714987714988,0.885,0.3655913978494623,0.8590000000000001
0.892,0.918,0.898,0.9729729729729728,0.879,0.4086021505376344,0.919
0.979,0.934,0.94,0.9963144963144962,0.8690000000000001,0.4193548387096774,0.96
0.914,0.847,0.917,0.9963144963144962,0.853,0.3763440860215054,0.867
0.903,0.852,0.89,0.9926289926289928,0.946,0.4086021505376344,0.862
0.8959999999999999,0.8740000000000001,0.898,0.9754299754299754,0.903,0.4381720430107527,0.8740000000000001
0.964,0.99,0.969,0.995085995085995,0.954,0.4005376344086021,0.949
0.8859999999999999,0.858,0.926,0.9975429975429974,0.938,0.4354838709677419,0.925
0.902,0.862,0.93,1.0,0.899,0.5268817204301075,0.933
1.0,0.987,0.974,0.9987714987714988,0.913,0.4220430107526881,0.976
0.92,0.903,0.919,0.9926289926289928,0.901,0.303763440860215,0.898
0.908,0.8909999999999999,0.923,1.0,0.888,0.3172043010752688,0.925
0.906,0.8809999999999999,0.888,0.9889434889434888,0.8690000000000001,0.379032258064516,0.8759999999999999
0.8590000000000001,0.765,0.872,0.9926289926289928,0.8909999999999999,0.4543010752688171,0.8140000000000001
0.715,0.8320000000000001,0.747,0.8439803439803438,0.83,0.2634408602150537,0.87
0.934,0.897,0.921,1.0,0.965,0.4946236559139784,0.905
0.8959999999999999,0.85,0.879,1.0,0.898,0.3629032258064515,0.918
0.945,0.843,0.878,0.9828009828009828,0.975,0.314516129032258,0.8740000000000001
0.954,0.944,0.899,1.0,0.946,0.3279569892473117,0.945
0.8240000000000001,0.815,0.8759999999999999,0.9766584766584766,0.815,0.4005376344086021,0.861
0.95,0.8859999999999999,0.917,0.9975429975429974,0.915,0.4381720430107527,0.924
0.7959999999999999,0.747,0.88,0.9680589680589682,0.773,0.596774193548387,0.794
0.863,0.91,0.865,0.9889434889434888,0.8140000000000001,0.2419354838709677,0.917
1.0,0.935,0.957,1.0,0.923,0.3575268817204301,0.945
0.932,0.9,0.971,1.0,0.915,0.4086021505376344,0.908
0.892,0.8540000000000001,0.8690000000000001,0.9914004914004912,0.89,0.3172043010752688,0.938
0.898,0.855,0.884,0.9987714987714988,0.875,0.3548387096774193,0.895
0.882,0.848,0.8909999999999999,0.9963144963144962,0.8959999999999999,0.4435483870967741,0.877
0.898,0.888,0.932,1.0,0.835,0.325268817204301,0.899
0.655,0.6890000000000001,0.81,0.8218673218673219,0.8059999999999999,0.3709677419354839,0.531
0.762,0.755,0.7709999999999999,0.9864864864864864,0.69,0.3844086021505376,0.846
0.72,0.78,0.745,0.9090909090909092,0.695,0.803763440860215,0.73
0.856,0.858,0.889,0.9963144963144962,0.91,0.3844086021505376,0.878
0.8109999999999999,0.625,0.847,0.9434889434889436,0.799,0.4193548387096774,0.838
0.742,0.619,0.728,1.0,0.7659999999999999,0.5026881720430108,0.7979999999999999
0.952,0.924,0.917,0.9975429975429974,0.958,0.4462365591397849,0.902
0.911,0.855,0.8809999999999999,0.9508599508599508,0.722,0.4462365591397849,0.878
0.8759999999999999,0.813,0.865,0.8906633906633906,0.845,0.336021505376344,0.853
0.919,0.901,0.921,0.9987714987714988,0.863,0.4193548387096774,0.921
0.8640000000000001,0.8140000000000001,0.8740000000000001,0.993857493857494,0.867,0.4247311827956989,0.8640000000000001
0.925,0.85,0.884,0.995085995085995,0.904,0.3978494623655914,0.883
0.925,0.882,0.904,1.0,0.878,0.4408602150537634,0.921
0.8220000000000001,0.782,0.833,0.9066339066339067,0.7,0.3387096774193548,0.843
0.883,0.856,0.902,0.9975429975429974,0.907,0.4731182795698925,0.913
0.96,0.975,0.944,0.9975429975429974,0.908,0.3279569892473117,0.934
